g,alpha,status,objective,energy_density,eq_residual,psd_residual,feasible
1.0,0.1,optimal_inaccurate,3636.8493371225886,0.36368493371225885,4.014468239992122e-09,2.675152613782008e-07,1
5.0,0.5,optimal_inaccurate,7046.961245202022,0.7046961245202021,2.748651504331231e-10,2.9888215647323984e-06,1
10.0,1.0,optimal_inaccurate,9999.211368687986,0.9999211368687986,1.3500083635137104e-10,4.4243689090799897e-07,1
20.0,2.0,optimal_inaccurate,13055.772371856787,1.3055772371856786,2.067129249735878e-11,7.031279930896294e-08,1
30.0,3.0,optimal_inaccurate,16312.409256557716,1.6312409256557716,1.7442009532153055e-10,7.988669682306678e-07,1
50.0,5.0,optimal_inaccurate,14944.128377263434,1.4944128377263435,2.691760752397625e-10,1.7498598930976064e-06,1
100.0,10.0,optimal_inaccurate,23979.839760501767,2.3979839760501767,7.179684401636976e-10,5.833695543052235e-07,1
150.0,15.0,optimal_inaccurate,40206.13859054142,4.0206138590541425,5.892892770977427e-11,2.961143739908263e-07,1
200.0,20.0,optimal_inaccurate,69920.93963807983,6.992093963807982,1.3637116517351951e-09,2.555358123477081e-07,1
300.0,30.0,optimal_inaccurate,56053.56173934243,5.6053561739342435,1.8357874775548693e-09,4.979653619312855e-07,1
