g,alpha,status,objective,energy_density,eq_residual,psd_residual,feasible
1.0,0.1,optimal_inaccurate,3636.8493371225886,0.3636849337122589,4.014468239992122e-09,2.675152613782008e-07,1
5.0,0.5,optimal_inaccurate,7046.961245202022,0.7046961245202022,2.748651504331231e-10,2.9888215647323984e-06,1
10.0,1.0,optimal_inaccurate,9999.211368687986,0.9999211368687986,1.3500083635137104e-10,4.4243689090799897e-07,1
15.0,1.5,optimal_inaccurate,11102.461964590359,1.110246196459036,2.5847615340696934e-11,1.0720702427061994e-10,1
20.0,2.0,optimal_inaccurate,9849.792655738915,1.5636352473388597,2.181166115617259e-10,5.711019661578125e-07,1
30.0,3.0,optimal_inaccurate,9812.756398341155,2.0411703065960727,1.6256516044169595e-10,8.054218117658168e-07,1
40.0,4.0,optimal_inaccurate,9843.554385334211,2.480439806423513,1.6374855312818977e-10,8.098824230949587e-07,1
50.0,5.0,optimal_inaccurate,9856.171276988718,2.8819744644779166,1.636620572726252e-10,8.111035830164941e-07,1
80.0,8.0,optimal_inaccurate,9875.792773926236,3.950321992382994,1.6483244573213037e-10,8.107219236754267e-07,1
100.0,10.0,optimal_inaccurate,9885.379248363544,4.588389718523171,1.661960154032471e-10,8.113998244855985e-07,1
150.0,15.0,optimal_inaccurate,9891.474063859203,6.016195717925586,1.6633390199416135e-10,8.116424181737978e-07,1
200.0,20.0,optimal_inaccurate,9895.867991794888,7.291338658881911,1.6712695174433204e-10,8.117207219328215e-07,1
300.0,30.0,optimal_inaccurate,9891.070603529408,9.549724017314665,1.6523969722296244e-10,8.110115924781593e-07,1
400.0,40.0,optimal_inaccurate,9894.39275819101,11.572552168830676,1.65418340635768e-10,8.119029655937946e-07,1
500.0,50.0,optimal_inaccurate,9897.982512664317,13.433629175562169,1.6650347096198303e-10,8.11983619163011e-07,1
600.0,60.0,optimal_inaccurate,9898.40216541665,15.170477976772652,1.6641915641104027e-10,8.120624203750811e-07,1
