level,interval,e_min,e_max,n_points
4,0,0.0,10.0,400
5,0,0.0,10.0,400
6,0,0.0,10.0,400
7,0,0.0,0.05012531328320802,3
7,1,0.6516290726817042,10.0,374
8,0,0.0,0.05012531328320802,3
8,1,0.6516290726817042,10.0,374
9,0,0.0,0.0,1
9,1,0.8771929824561403,10.0,365
10,0,0.0,0.0,1
10,1,0.8771929824561403,1.2531328320802004,16
10,2,1.4786967418546366,10.0,341
11,0,0.0,0.0,1
11,1,0.9774436090225563,1.2531328320802004,12
11,2,1.4786967418546366,10.0,341
12,0,0.0,0.0,1
12,1,0.9774436090225563,1.0275689223057642,3
12,2,1.8295739348370925,10.0,327
13,0,0.0,0.0,1
13,1,1.0025062656641603,1.0275689223057642,2
13,2,1.8295739348370925,7.343358395989974,221
13,3,7.393483709273182,8.095238095238095,29
13,4,8.145363408521304,8.24561403508772,5
13,5,8.295739348370926,8.295739348370926,1
13,6,8.345864661654135,8.421052631578947,4
13,7,8.471177944862156,8.471177944862156,1
13,8,8.546365914786968,8.746867167919799,9
13,9,8.796992481203008,8.847117794486214,3
13,10,8.897243107769423,8.897243107769423,1
13,11,8.947368421052632,8.997493734335839,3
13,12,9.097744360902254,9.172932330827066,4
13,13,9.223057644110275,9.273182957393484,3
13,14,9.32330827067669,9.32330827067669,1
13,15,9.3734335839599,9.423558897243108,3
13,16,9.498746867167918,9.57393483709273,4
13,17,9.62406015037594,9.699248120300751,4
13,18,9.82456140350877,9.82456140350877,1
13,19,9.87468671679198,9.924812030075188,3
14,0,0.0,0.0,1
14,1,1.0025062656641603,1.0025062656641603,1
14,2,1.9298245614035086,5.087719298245614,127
14,3,5.137844611528822,5.213032581453634,4
14,4,5.263157894736842,5.538847117794486,12
14,5,5.588972431077694,5.864661654135338,12
14,6,5.9147869674185465,6.015037593984962,5
14,7,6.06516290726817,6.06516290726817,1
14,8,6.115288220551378,6.140350877192982,2
14,9,6.19047619047619,6.290726817042606,5
14,10,6.340852130325814,6.365914786967418,2
14,11,6.416040100250626,6.491228070175438,4
14,12,6.541353383458646,6.541353383458646,1
14,13,6.641604010025063,6.666666666666666,2
14,14,6.716791979949875,6.716791979949875,1
14,15,6.7669172932330826,6.81704260651629,3
14,16,6.8922305764411025,6.94235588972431,3
14,17,6.992481203007518,7.06766917293233,4
14,18,7.117794486215539,7.2180451127819545,5
14,19,7.393483709273182,7.393483709273182,1
14,20,7.443609022556391,7.468671679197994,2
14,21,7.593984962406014,7.593984962406014,1
14,22,7.794486215538846,7.794486215538846,1
14,23,7.894736842105263,7.919799498746867,2
14,24,7.969924812030075,8.045112781954886,4
14,25,8.145363408521304,8.170426065162907,2
14,26,8.220551378446114,8.220551378446114,1
14,27,8.295739348370926,8.295739348370926,1
14,28,8.345864661654135,8.370927318295738,2
14,29,8.421052631578947,8.421052631578947,1
14,30,8.471177944862156,8.471177944862156,1
14,31,8.571428571428571,8.571428571428571,1
14,32,8.646616541353383,8.646616541353383,1
14,33,8.69674185463659,8.721804511278195,2
14,34,8.796992481203008,8.796992481203008,1
14,35,8.897243107769423,8.897243107769423,1
14,36,8.947368421052632,8.947368421052632,1
14,37,8.997493734335839,8.997493734335839,1
14,38,9.12280701754386,9.12280701754386,1
14,39,9.223057644110275,9.273182957393484,3
14,40,9.32330827067669,9.32330827067669,1
14,41,9.3734335839599,9.398496240601503,2
14,42,9.498746867167918,9.57393483709273,4
14,43,9.649122807017543,9.649122807017543,1
14,44,9.899749373433583,9.899749373433583,1
15,0,0.0,0.0,1
15,1,1.0025062656641603,1.0025062656641603,1
15,2,1.9298245614035086,2.0551378446115285,6
15,3,2.832080200501253,3.107769423558897,12
15,4,3.1578947368421053,3.1578947368421053,1
15,5,3.233082706766917,3.4837092731829573,11
15,6,3.533834586466165,3.5588972431077694,2
15,7,3.6090225563909772,3.6842105263157894,4
15,8,3.734335839598997,3.7593984962406015,2
15,9,3.8095238095238093,3.9598997493734336,7
15,10,4.010025062656641,4.060150375939849,3
15,11,4.110275689223057,4.110275689223057,1
15,12,4.160401002506266,4.185463659147869,2
15,13,4.260651629072681,4.285714285714286,2
15,14,4.335839598997493,4.360902255639098,2
15,15,4.4110275689223055,4.511278195488721,5
15,16,4.56140350877193,4.586466165413533,2
15,17,4.68671679197995,4.68671679197995,1
15,18,4.761904761904762,4.761904761904762,1
15,19,4.81203007518797,4.93734335839599,6
15,20,5.087719298245614,5.087719298245614,1
15,21,5.137844611528822,5.137844611528822,1
15,22,5.213032581453634,5.213032581453634,1
15,23,5.288220551378446,5.288220551378446,1
15,24,5.363408521303258,5.413533834586466,3
15,25,5.463659147869674,5.488721804511278,2
