g,lower_energy,upper_energy,lower_status,upper_status,source
0.0,0.0,0.0,exact:g0,exact:g0,sparse-low
0.2,1.5833127087194754e-07,1.5833127087194754e-07,SCS:optimal_inaccurate,SCS:optimal_inaccurate,sparse-low
0.5,0.04101017746531457,0.04101017746531457,CLARABEL:optimal_inaccurate,CLARABEL:optimal,sparse-low
1.0,0.16847336099727414,0.16847336099727414,CLARABEL:optimal,CLARABEL:optimal_inaccurate,sparse-low
2.0,0.3675849611094779,0.3675849611094779,CLARABEL:optimal,CLARABEL:optimal_inaccurate,sparse-low
3.0,0.5229856047535021,0.5229856047535021,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,sparse-low
5.0,0.7771084348679363,0.7771084348679363,CLARABEL:optimal,CLARABEL:optimal,sparse-low
8.0,1.0912087315534826,1.0912087315534826,CLARABEL:optimal,CLARABEL:optimal,sparse-low
12.0,1.4477930506505285,1.4477930506505285,CLARABEL:optimal,CLARABEL:optimal_inaccurate,sparse-low
20.0,2.0526549776032343,2.0526549776032343,CLARABEL:optimal,CLARABEL:optimal_inaccurate,fit-guided-high
22.0,2.1895961725080992,2.1895961725080992,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
24.0,2.322321952785686,2.322321952785686,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
26.0,2.45131030885632,2.45131030885632,CLARABEL:optimal,CLARABEL:optimal_inaccurate,fit-guided-high
28.0,2.5769515307346054,2.5769515307346054,CLARABEL:optimal,CLARABEL:optimal_inaccurate,fit-guided-high
30.0,2.6995695637299226,2.6995695637299226,CLARABEL:optimal,CLARABEL:optimal_inaccurate,fit-guided-high
35.0,2.994579992129532,2.994579992129532,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
40.0,3.275596006855886,3.275596006855886,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
45.0,3.544953744579645,3.544953744579645,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
50.0,3.804380882573222,3.804380882573222,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
55.0,4.055200758892114,4.055200758892114,CLARABEL:optimal,CLARABEL:optimal_inaccurate,fit-guided-high
60.0,4.298455480497277,4.298455480497277,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
70.0,4.765475815956007,4.765475815956007,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
80.0,5.210552855531437,5.210552855531437,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
90.0,5.637313254193813,5.637313254193813,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate,fit-guided-high
100.0,6.048448198215136,6.048448198215136,CLARABEL:optimal,CLARABEL:optimal_inaccurate,fit-guided-high
