g,guide_energy,lower_energy,upper_energy,lower_status,upper_status
0.0,0.0,0.0,0.0,exact:g0,exact:g0
0.2,1.5833127087194754e-07,1.5833127087194754e-07,1.5833127087194754e-07,SCS:optimal_inaccurate,SCS:optimal_inaccurate
0.5,0.04101017746531457,0.04101017746531457,0.04101017746531457,CLARABEL:optimal_inaccurate,CLARABEL:optimal
1.0,0.16847336099727414,0.16847336099727414,0.16847336099727414,CLARABEL:optimal,CLARABEL:optimal_inaccurate
2.0,0.3675849611094779,0.3675849611094779,0.3675849611094779,CLARABEL:optimal,CLARABEL:optimal_inaccurate
3.0,0.5229856047535021,0.5229856047535021,0.5229856047535021,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
5.0,0.7771084348679363,0.7771084348679363,0.7771084348679363,CLARABEL:optimal,CLARABEL:optimal
8.0,1.0912087315534826,1.0912087315534826,1.0912087315534826,CLARABEL:optimal,CLARABEL:optimal
12.0,1.4477930506505285,1.4477930506505285,1.4477930506505285,CLARABEL:optimal,CLARABEL:optimal_inaccurate
20.0,2.0526549820134186,2.0526549820134186,2.0526549820134186,CLARABEL:optimal,CLARABEL:optimal_inaccurate
35.0,2.9945799923602414,2.9945799923602414,2.9945799923602414,CLARABEL:optimal,CLARABEL:optimal_inaccurate
60.0,4.298455480363748,4.298455480363748,4.298455480363748,CLARABEL:optimal,CLARABEL:optimal_inaccurate
100.0,6.048448198220758,6.048448198220758,6.048448198220758,CLARABEL:optimal_inaccurate,CLARABEL:optimal
