g,guide_energy,lower_energy,upper_energy,lower_status,upper_status
0.0,0.0,0.0,0.0,exact:g0,exact:g0
0.2,1.5833127087194754e-07,1.5833127087194754e-07,1.5833127087194754e-07,SCS:optimal_inaccurate,SCS:optimal_inaccurate
0.3,0.003574780712658099,0.003574780712658099,0.003574780712658099,CLARABEL:optimal,CLARABEL:optimal
0.4,0.01827852200895591,0.01827852200895591,0.01827852200895591,CLARABEL:optimal,CLARABEL:optimal
0.5,0.04101017746531457,0.04101017746531457,0.04101017746531457,CLARABEL:optimal,CLARABEL:optimal
0.6,0.06684777571987081,0.06684777571987081,0.06684777571987081,CLARABEL:optimal,CLARABEL:optimal
0.8,0.11923437124496725,0.11923437124496725,0.11923437124496725,CLARABEL:optimal,CLARABEL:optimal_inaccurate
1.0,0.16847336099727414,0.16847336099727414,0.16847336099727414,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
1.2,0.213921033204684,nan,nan,ordinary:not_found,ground:not_found
1.5,0.27602750264772313,nan,nan,ordinary:not_found,ground:not_found
2.0,0.3675849611094779,nan,nan,ordinary:not_found,ground:not_found
2.5,0.44884362649762605,nan,nan,ordinary:not_found,ground:not_found
3.0,0.5229856047535021,nan,nan,ordinary:not_found,ground:not_found
