g,level_7_energy,level_7_x2,level_8_energy,level_8_energy_status,level_8_x2,level_8_x2_status,level_8_x2_energy_argmin
0.25,1.9046536065666235e-06,0.5843448065811929,1.9046536065666235e-06,clarabel:optimal:feas,0.6219542203672108,clarabel:optimal_inaccurate:feas,0.0012519046536065667
0.2,9.482711932723121e-08,0.5673843892894239,9.482711932723121e-08,clarabel:optimal:feas,0.5708332947495889,clarabel:optimal:feas,9.482711932723121e-08
0.15,1.4523153103502728e-10,0.5323799458742708,1.4523153103502728e-10,clarabel:optimal:feas,0.5329728293274137,clarabel:optimal:feas,1.4523153103502728e-10
0.12,3.4909227074493846e-14,0.5196601848122404,3.4909227074493846e-14,clarabel:optimal:feas,0.5197989229088579,clarabel:optimal_inaccurate:feas,3.4909227074493846e-14
0.1,1.3169537100928365e-18,0.513282863984048,1.3169537100928365e-18,clarabel:optimal:feas,0.5133289528008557,clarabel:optimal:feas,1.3169537100928365e-18
0.08,9.474340185188367e-27,0.5083112536556633,9.474340185188367e-27,clarabel:optimal:feas,0.508326879792031,clarabel:optimal:feas,9.474340185188367e-27
0.06,2.418806974182377e-44,0.5046005604011106,2.418806974182377e-44,clarabel:optimal:feas,0.5046005728408547,clarabel:optimal:feas,2.418806974182377e-44
0.05,4.899167858447939e-62,0.5031729876931537,4.899167858447939e-62,clarabel:optimal:feas,0.503172988526107,clarabel:optimal:feas,4.899167858447939e-62
0.04,1.3123092107740402e-94,0.502019488533195,1.3123092107740402e-94,clarabel:optimal:feas,0.5020194885736805,clarabel:optimal:feas,1.3123092107740402e-94
0.03,5.575003288646486e-165,0.50113112590881,5.575003288646486e-165,clarabel:optimal:feas,0.5011311259104061,clarabel:optimal:feas,5.575003288646486e-165
0.025,9.382737331698492e-236,0.5007841966788107,9.382737331698492e-236,clarabel:optimal:feas,0.5007841966790298,clarabel:optimal:feas,9.382737331698492e-236
0.022,3.1273060623823664e-303,0.5006067647970954,3.1273060623823664e-303,clarabel:optimal:feas,0.5006067647971559,clarabel:optimal:feas,3.1273060623823664e-303
0.0,0.0,0.5,0.0,exact,0.5,exact,0.0
