g,level_7_energy,level_8_energy,level_9_energy,level_10_energy,level_7_x2,level_8_x2,level_9_x2,level_10_x2
0.25,1.9046536065666235e-06,1.9046536065666235e-06,nan,nan,0.5843448065811929,nan,nan,nan
0.3,3.887789847368774e-05,0.002453276575623751,nan,nan,0.6029280873736528,0.6063165213626353,nan,nan
0.35,0.007254657580867035,0.008404888817948783,0.010472887524853109,nan,0.58170818843711,0.6054069371399562,0.6215746007911438,nan
0.4,0.016875068344750527,0.017791220095458644,0.017967886553483914,nan,0.5510094912942007,nan,nan,nan
0.5,0.039755062895008283,0.04067680326454981,0.04067680326454981,0.04067680326454981,0.4886744372208122,0.5206989471067547,0.5195033931723041,0.5161092753655641
0.6,0.06583184002187964,0.06651758835544089,0.06651758835544089,0.06651758835544089,0.43327693306162907,0.4549208028217037,nan,0.4551351288734353
0.7,0.0933044687715167,0.0933044687715167,0.0933044687715167,0.0933044687715167,0.38862114979406404,0.4062000833731338,0.406200438898094,0.4063219604001407
0.8,0.11926776225874719,0.11926776225874719,0.11926776225874719,0.11926776225874719,0.356194681554029,0.36997173648081216,0.36997200605417135,0.3700696475582897
0.9,0.1443735525716931,0.1443735525716931,0.1443735525716931,0.1443735525716931,0.3308023616581606,0.34197393120211234,0.3419739307877161,0.3420558375853633
1.0,0.1685113809559948,0.1685113809559948,0.1685113809559948,0.1685113809559948,0.31047598765294004,0.31978365554965527,0.31978410171086025,0.31985428951744316
