N,x2_lower,x2_exact,x2_status,x4_lower,x4_exact,x4_status
1,0.4999999999893084,0.5,clarabel:optimal_inaccurate:feas,0.7500000000011133,0.75,clarabel:optimal:feas
2,1.9999999999997202,2.0,clarabel:optimal_inaccurate:feas,4.499999999975958,4.5,clarabel:optimal_inaccurate:feas
3,4.500000000000158,4.5,clarabel:optimal_inaccurate:feas,14.250000000000728,14.25,clarabel:optimal_inaccurate:feas
4,7.999999999998859,8.0,clarabel:optimal_inaccurate:feas,32.999999999938744,33.0,clarabel:optimal_inaccurate:feas
5,12.499999999999837,12.5,clarabel:optimal_inaccurate:feas,63.74999999999953,63.75,clarabel:optimal_inaccurate:feas
6,18.000000000000135,18.0,clarabel:optimal:feas,109.50000000000037,109.5,clarabel:optimal:feas
7,24.499999999992724,24.5,clarabel:optimal_inaccurate:feas,173.24999999999025,173.25,clarabel:optimal_inaccurate:feas
8,32.00000000000003,32.0,clarabel:optimal_inaccurate:feas,257.99999999999045,258.0,clarabel:optimal:feas
9,40.50000000000141,40.5,clarabel:optimal_inaccurate:feas,366.75000000000557,366.75,clarabel:optimal:feas
10,49.99999999999999,50.0,clarabel:optimal_inaccurate:feas,502.5,502.5,clarabel:optimal:feas
